Red Universitaria de Observatorios Atmosfericos (RUOA)
Atmospheric Observatory Juriquilla (jqro), Queretaro
Lat 20.703 N, Lon 100.4473 W, Alt 1945 masl
Time UTC-6h
Air Quality data
Flags: OK = Reliable data, BDL = Below Detection Limit, OR = Out of Range, OS = Out of Service 
 
Time,O3,O3_flag,SO2,SO2_flag,NO2,NO2_flag,NO,NO_flag,CO,CO_flag,PM10,PM10_flag,PM2.5,PM2.5_flag
yyyy-mm-dd HH:MM:SS,ppb,flag,ppb,flag,ppb,flag,ppb,flag,ppm,flag,ug/m^3,flag,ug/m^3,flag
2025-02-04 19:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,36.28,OK,37.35,OK
2025-02-04 20:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,50.42,OK,45.93,OK
2025-02-04 21:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,50.53,OK,35.73,OK
2025-02-04 22:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,22.72,OK,15.82,OK
2025-02-04 23:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,13.55,OK,24.9,OK
2025-02-05 00:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,20.72,OK,34.6,OK
2025-02-05 01:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,5.18,OK,57.13,OK
2025-02-05 02:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,39.14,OK,620.02,OR
2025-02-05 03:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,12.04,OK,-352.94,OR
2025-02-05 04:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,14.95,OK,-254.52,OR
2025-02-05 05:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,17.77,OK,17.0,OK
2025-02-05 06:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,22.98,OK,16.11,OK
2025-02-05 07:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,20.4,OK,26.65,OK
2025-02-05 08:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,40.91,OK,29.89,OK
2025-02-05 09:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,49.37,OK,17.39,OK
2025-02-05 10:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,39.42,OK,20.7,OK
2025-02-05 11:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,27.78,OK,20.55,OK
2025-02-05 12:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,24.0,OK,15.76,OK
2025-02-05 13:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,34.37,OK,5.75,OK
2025-02-05 14:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,20.6,OK,1.12,BDL
2025-02-05 15:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,5.21,OK,-6.59,OR
2025-02-05 16:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,10.21,OK,3.6,BDL
2025-02-05 17:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,3.81,BDL,7.03,OK
2025-02-05 18:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,23.58,OK,19.85,OK
2025-02-05 19:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,44.53,OK,39.03,OK
2025-02-05 20:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,51.17,OK,44.83,OK
2025-02-05 21:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,58.65,OK,51.49,OK
2025-02-05 22:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,53.58,OK,37.74,OK
2025-02-05 23:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,37.35,OK,21.96,OK
2025-02-06 00:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,32.99,OK,28.6,OK
2025-02-06 01:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,33.07,OK,20.37,OK
2025-02-06 02:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,35.08,OK,27.72,OK
2025-02-06 03:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,24.95,OK,21.94,OK
2025-02-06 04:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,26.27,OK,22.43,OK
2025-02-06 05:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,29.82,OK,17.74,OK
2025-02-06 06:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,24.17,OK,21.09,OK
2025-02-06 07:00:00,null,OS,null,OS,null,OS,null,OS,null,OS,55.66,OK,34.37,OK
